Name,OriginID,DestinationID,DestinationRank,Total_Minutes,Total_TimeAt1KPH,Total_TravelTime,Total_TruckMinutes,Total_TruckTravelTime,Total_WalkTime,Total_Kilometers,Total_Miles,Shape_Length
Location 247 - Location 8,247,8,1,,,10.036205107687676,,,,5.391527897751213,,0.055309114223026
Location 249 - Location 2,249,2,1,,,12.974734167917729,,,,10.206208301178323,,0.094166247185299
Location 252 - Location 2,252,2,1,,,8.901804412912073,,,,4.855644696453592,,0.028833194922059
Location 253 - Location 2,253,2,1,,,12.663708457863054,,,,7.181029446183618,,0.065199913734800
Location 255 - Location 1,255,1,1,,,4.533022083629115,,,,1.588362911082890,,0.009567273114970
Location 259 - Location 1,259,1,1,,,6.951734516759956,,,,2.346090418553996,,0.018861351441291
Location 260 - Location 2,260,2,1,,,6.124107192218201,,,,2.919120619879499,,0.026843739026422
Location 262 - Location 2,262,2,1,,,13.384882241417355,,,,6.763939436476309,,0.059033678832153
Location 262 - Location 7,262,7,2,,,14.773534660763062,,,,10.273873566320386,,0.064312528459549
Location 268 - Location 3,268,3,1,,,11.237213681989880,,,,5.153550378448013,,0.035399837613032
Location 270 - Location 4,270,4,1,,,9.829055247095209,,,,4.848983795255897,,0.046992904655008
Location 271 - Location 2,271,2,1,,,10.795807842702484,,,,10.095468851150283,,0.067469164378379
Location 273 - Location 1,273,1,1,,,14.489578718159484,,,,5.128515238165690,,0.036629638979117
Location 274 - Location 1,274,1,1,,,11.617639432222679,,,,5.408184720935066,,0.047247539233120
Location 275 - Location 2,275,2,1,,,14.523305856866440,,,,7.238886858759567,,0.057525336927407
Location 278 - Location 3,278,3,1,,,11.986489241288321,,,,9.985547837921311,,0.068250568768341
Location 279 - Location 2,279,2,1,,,11.612517824586961,,,,12.335692892134485,,0.136909431261718
Location 282 - Location 1,282,1,1,,,13.510072275822283,,,,4.609539618902932,,0.037763437731941
Location 283 - Location 2,283,2,1,,,14.262464514012802,,,,7.322867556698708,,0.095856099129872
Location 285 - Location 1,285,1,1,,,5.701338631612249,,,,2.282089042510978,,0.015878071146678
Location 286 - Location 7,286,7,1,,,13.030614004173716,,,,11.466773246954816,,0.091039005167557
Location 291 - Location 3,291,3,1,,,4.217324359626684,,,,2.027115863873734,,0.023442136175616
Location 292 - Location 2,292,2,1,,,6.956102410863812,,,,5.150780524161116,,0.046210267701144
Location 294 - Location 7,294,7,1,,,11.249669811583319,,,,5.932760139855771,,0.034571450056657
Location 299 - Location 3,299,3,1,,,13.615933381315084,,,,11.937372933622212,,0.096378197855180
Location 311 - Location 2,311,2,1,,,6.476633492932033,,,,3.706354775824786,,0.021623777120364
Location 312 - Location 2,312,2,1,,,9.384765879109532,,,,4.593389856263835,,0.036185843749206
Location 316 - Location 5,316,5,1,,,12.303624982849348,,,,8.993712663248726,,0.077325324654871
Location 317 - Location 1,317,1,1,,,5.350644852820757,,,,2.189812853461343,,0.016156091040079
Location 318 - Location 3,318,3,1,,,14.356139878160803,,,,6.957132867257610,,0.068191804045959
Location 320 - Location 2,320,2,1,,,13.311229633540883,,,,11.860864079963534,,0.113875258445002
Location 321 - Location 3,321,3,1,,,13.920182015749450,,,,8.470576465260812,,0.098541222083981
Location 322 - Location 4,322,4,1,,,12.610099006314542,,,,5.982174173758111,,0.057344323534910
Location 324 - Location 4,324,4,1,,,10.533476415912105,,,,4.752598973208181,,0.032111218513103
Location 327 - Location 8,327,8,1,,,10.959432672626379,,,,6.181210254139820,,0.039845157112937
Location 328 - Location 4,328,4,1,,,14.915328435967195,,,,16.524305763685561,,0.112381841171168
Location 330 - Location 2,330,2,1,,,9.362237886419301,,,,5.249772269574721,,0.040639000378496
Location 331 - Location 3,331,3,1,,,13.364444367502596,,,,9.708023535080185,,0.068957840955863
Location 331 - Location 4,331,4,2,,,14.229355256174470,,,,6.909664617843857,,0.053248010897060
Location 334 - Location 8,334,8,1,,,12.151314272733503,,,,7.174221687637929,,0.051298510154810
Location 335 - Location 3,335,3,1,,,10.988013694490514,,,,6.290357854827212,,0.045006173759292
Location 336 - Location 4,336,4,1,,,13.583368993168474,,,,5.844793154826214,,0.057033392005095
Location 337 - Location 3,337,3,1,,,13.947574153329530,,,,9.956093077356371,,0.072098526628814
Location 337 - Location 4,337,4,2,,,14.631100764657655,,,,6.497936491663012,,0.052406363947990
Location 340 - Location 3,340,3,1,,,11.306122735720036,,,,5.914532367981334,,0.052873173645239
Location 343 - Location 2,343,2,1,,,10.020558620726595,,,,4.878674787916727,,0.038278691944262
Location 349 - Location 3,349,3,1,,,10.749849687611770,,,,5.293517553523511,,0.050128899535518
Location 352 - Location 3,352,3,1,,,8.303852268885681,,,,4.255536889242905,,0.042959215362163
Location 352 - Location 4,352,4,2,,,14.777245518397400,,,,7.713788842367905,,0.070106734787277
Location 353 - Location 2,353,2,1,,,9.299541311435341,,,,8.914877914303219,,0.081083121947388
Location 354 - Location 3,354,3,1,,,10.376337870861761,,,,4.187175057575224,,0.030343270394842
